text,label
LEBRON JUST POSTERIZED THAT MAN INTO ANOTHER DIMENSION ðŸ˜­ðŸ˜­ðŸ˜­,reaction
The Miami Heat culture is the most overrated thing in basketball. It's just Pat Riley hoarding players,hot_take
SGA just dropped 47 on 17/24 shooting. this man is different. DIFFERENT.,reaction
"Revisiting the 2019 trade of Anthony Davis to LA: the Pelicans received picks that became #1 (Zion), #4 (Ingram), and assets for Brandon Ingram contract. Ingram has averaged 24.3 PPG over 3 seasons. The haul was better than initial reactions suggested",reaction
Anthony Davis is the most underutilized superstar in the history of this league. Wasted talent,hot_take
Luka Doncic is already better than Dirk was at the same age and its not even close tbh,hot_take
Analyzing the 'load management' ROI: players who play 65+ games in their age-29 season have 23% fewer games missed in their age 32-34 seasons per longitudinal tracking. The Kawhi approach has no statistical backing for long-term durability,reaction
GORDON HAYWARD WALK OFF THREE IN GAME 7 I AM GOING TO PASS OUT,reaction
NBA players today could NOT survive in the 80s. Rick Mahorn would end half these guys careers,hot_take
Kawhi Leonard is overrated because he played with Tim Duncan then played with LeBron-lite in Kyle Lowry,hot_take
Russell Westbrook triple doubles were all padding. Most empty stats in the history of sports,hot_take
Revisiting the Rudy Gobert trades with hindsight: Minnesota gave up 5 picks and 3 young players. Gobert is posting 14.4/11.8/1.4 blocks on 67.2% shooting. The Wolves defensive rating went from 24th to 6th. The haul was too much but results validate it,analysis
"The Bucks' problem in 5 stats: 18th in clutch net rating, 29th in clutch TS%, Giannis shoots 58.1% from FT in clutch situations vs 71.2% in non-clutch. Teams foul him strategically in close games. This is why they need a second closer",analysis
"The Knicks-Celtics historical matchup data since 2016: Celtics are 58-32 against New York (.644 win rate). But in MSG specifically, Celtics are 22-21 (.512). Home court matters more in this rivalry than any other East matchup per data",analysis
Magic Johnson vs LeBron James as PG is not even a debate. Magic runs circles around him,hot_take
"The case for Jaylen Brown as co-star: in games Brown scores 25+, Celtics record is 38-8. In games he scores under 20, they're 32-14. His impact on win probability is +22.7% in high-output games. He's not a sidekick. The stats confirm it",analysis
just witnessed the single worst officiated game in NBA history. both teams got screwed,reaction
Heat crowd just got silent after Bam airballed a free throw with 10 seconds left lmao,reaction
Lebron is the GOAT and anyone who says different is just a Jordan fanboy who never watched him play. End of discussion.,hot_take
The case that advanced stats underrate defense: DBPM and Defensive BPM fail to account for positional deterrence. Gobert's DBPM is 2.1 but his shot deterrence at the rim (opponents take 22% fewer attempts per game when he's playing) isn't captured in box scores,analysis
Zone defense should be BANNED from the NBA. It ruins the product and everyone knows it,hot_take
Zion Williamson is the most physically gifted player since prime Shaquille O'Neal. Period.,hot_take
refs have called 8 fouls on jokic in the first half and he has 0 turnovers. LEGEND,reaction
Kobe Bryant was more skilled than Michael Jordan. Jordan was more athletic. Different things.,hot_take
"Carmelo Anthony should be in the Hall of Fame and this isnt even debatable. 10x All Star, scoring champion",hot_take
"Tatum's usage rate in clutch situations (last 5 mins, within 5 pts) is 38.2% this season, and he's shooting 42.3% in those moments. People calling him not clutch are ignoring a 500+ possession sample size",analysis
Scottie Pippen was the second best player of the 90s and the Suns and Jazz fans know it,hot_take
just realized we traded that pick and now its a top 3 pick. im going to be sick,reaction
Wembanyama is going to be the greatest player of all time. Better than LeBron better than Jordan. Mark my words,hot_take
Devin Booker is better than Kobe was at the same age and I will not be taking questions at this time,reaction
"The Lakers rank 28th in 3-point attempts per game (31.4) and 26th in 3-point percentage (34.7%). In 2024 NBA basketball, that combination of volume and poor efficiency is close to unplayable in a playoff setting",analysis
"Russell Westbrook historical revisionism: his 2017 triple-double season had a 108.2 BPM, a WS/48 of 0.198, and the Thunder went 47-35. Those numbers don't lie â€” it was a genuinely great individual season on a good team, whatever anyone says",analysis
James Harden invented a new style of basketball and deserves more respect than he gets,hot_take
GIANNIS WITH THE SLAM AND THE FOUL AND HE AINT DONE ðŸ”¥ðŸ”¥ðŸ”¥,reaction
Zion just ate a guy whole. that man is not human. someone call the league,reaction
Patrick Beverley is the most annoying player to ever play in the NBA. Zero respect for the game,hot_take
Tyrese Haliburton is the most underappreciated star in the league. Best playmaker under 25 easily,hot_take
The idea that OKC cannot win a title with Shai is not supported by data. He posts 54.4% TS% in 4th quarters this season â€” identical to Curry's 2016 clutch TS%. The surrounding cast question is legitimate but the star is championship-caliber,analysis
Damian Lillard wasted his prime in Portland and the blame falls entirely on the front office,hot_take
just saw the injury report. our whole starting 5 is questionable. fantastic. wonderful. great.,reaction
THUNDER JUST TRADED UP TO GET THE FIRST PICK AGAIN??? HOW. HOW DO THEY DO IT,reaction
"Analyzing why Philly keeps failing in playoffs: their half-court offense ranks 4th but their transition defense ranks 21st. Embiid can't get back, Maxey gambles, and playoff teams get 14.2 PPG in transition against them vs season average of 11.4",analysis
Looking at Jokic's assist-to-turnover ratio this season (4.8:1) compared to other centers in NBA history â€” no center in the shot clock era has maintained that ratio over a full season at his usage rate. The man is a statistical anomaly,analysis
"Statistical comparison of this Thunder team to young OKC 2009-2012: 2009 OKC avg age (21.3), 2024 OKC avg age (22.8). 2009 DRTG (109.1), 2024 DRTG (109.3). History rhymes. They're ahead of schedule compared to the Durant-Westbrook version",analysis
Jalen Brunson's isolation PPP this season (1.04) is top 5 in the NBA. His pull-up 3-point percentage on 5+ per game is 38.7%. He's not a system product â€” he creates his own high-quality looks and converts them. Max player argument,analysis
Deep dive on Steph's off-ball movement: he averages 4.7 catches off movement screens per game (top 3 in league) and converts those to 1.19 PPP. Defenses have to account for him without the ball which opens everything for Draymond-led sets,analysis
we just lost to a team that was 8 games under .500. i need to speak with someone professionally,reaction
The 2024 NBA Finals defensive breakdown: Boston held opponents to 108.2 PPP in the series (best for a champion since 2016 Cleveland). Their switching scheme against pick and roll was the tactical story â€” they switched 78% of all PnRs and allowed 0.84 PPP on those,analysis
Rudy Gobert does NOT deserve any of his Defensive Player of the Year awards. Marketing job by the Jazz,hot_take
pacers fan here. haliburton just went off for 42 and 18 assists. im not okay. in a good way.,reaction
Ben Simmons statistical comparison to other elite playmaking forwards at age 27: his 8.1 assists per game would rank top 8 all-time for power forwards/centers. His 7.7 RPG and 1.7 SPG are excellent. He needs to fix the shooting. Everything else is there,analysis
"Portland Trail Blazers historical bad luck index: 3 lottery wins (1983, 1984, 2007) all resulted in busts or trades. 5 near-misses on generational talent (missed Jordan 1984, Durant 2007, LeBron 2003). Statistically most unlucky franchise in NBA draft history",analysis
Pacers fan checking in. We somehow survived a game 7 on the road. I need to sleep for 3 days,reaction
The case for Kawhi Leonard as the best two-way player ever: his DBPM peaked at 4.2 in 2016 while his OBPM was 7.8. A combined 12.0 BPM in a two-way season. Only Jordan (12.8 in 1988) posted a higher combined BPM in the shot-clock era,analysis
we down 22 in the 4th. got work tomorrow. gonna head out. this team owes me years of my life,reaction
"The Nuggets pick-and-roll data shows why Jokic is unique: when he's the roll man, Denver scores 1.28 PPP. When he's the ball handler: 1.22 PPP. He is elite in both roles â€” the first player to rank top 5 in both categories simultaneously in the three-point tracking era",analysis
Larry Bird was more clutch than any player in NBA history including Jordan. Read the room,hot_take
The Celtics are frauds. They have the most talent in the East and still find ways to lose,hot_take
NBA Twitter is destroying the enjoyment of basketball for real fans. Too much noise,hot_take
"Breaking down Wembanyama's block rate by zone: he blocks 12.1% of attempts at the rim, 4.2% in the mid range (which almost never happens), and 2.8% on above the break 3s. That last number is genuinely unprecedented in NBA tracking",analysis
THE BLOCK. THE BLOCK. THE GOAT BLOCK. WE ARE ALL WITNESSES,reaction
the sideline reporter just asked Giannis how he feels and he said 'I feel like I want to win' iconic,reaction
Donovan Mitchell is a top 5 shooting guard in the NBA and Cleveland is slept on HARD,hot_take
giannis is literally just running through people like its a video game on rookie mode rn,reaction
The refs literally decide who wins the finals every year. The games are rigged at this point,hot_take
The real story of Dallas's drop off: post-Doncic scoring distribution shows 68.3% of their points in the half court come from Luka-initiated possessions. No other playoff team exceeds 61%. The over-reliance makes their offense predictable in late playoff rounds,analysis
miami heat in the playoffs is genuinely one of the most stressful experiences a fan can have,reaction
The 2001 Lakers were the best team in NBA history. Shaq AND Kobe in their prime is unfair,hot_take
BUDDY HIELD WITH THE BUZZER BEATER NOOOOO WHY IS HE OPEN WHY IS HE EVER OPEN,reaction
yo that crowd noise when steph hit the logo three. championship atmosphere confirmed,reaction
Chris Paul is the most overrated player in league history. Always chokes when it matters,hot_take
The Warriors should have their 2017 title stripped because of KD joining a 73-win team,hot_take
we are watching curry play his last few seasons. appreciate every moment people,reaction
bam adebayo in the 4th quarter with the game on the line hits different. he HITS DIFFERENT,reaction
Kyrie Irving's per-game numbers when he plays 60+ games in a season (career): 24.8/5.0/6.4 on .480/.397/.900. When he plays fewer than 55: 23.1/4.6/5.7 on .461/.378/.877. The talent is elite â€” availability is the only question,analysis
the absolute STATE of clippers defense rn. my grandmother could score on them,reaction
knicks win!! knicks win!! i am allowed to feel happiness for once in my miserable life!!,reaction
we came back from 30 down to win???? THIRTY???? WHAT BASKETBALL IS THIS,reaction
The NBA officiating has never been worse. It's embarrassing at this point. NBRA is a joke,hot_take
"The Knicks offensive rating with Brunson on the floor is 116.3. Without him it drops to 104.8. An 11.5 point differential. That's not a star player, that's a franchise cornerstone. Pay the man whatever he wants",analysis
Anthony Davis just blocked 3 shots in 30 seconds and im supposed to act normal about that,reaction
oh my god oh my god oh my god Ja just threw it off the backboard to himself for the dunk WHAT,reaction
Celtics are seriously going to win this series and its making me physically ill as a nets fan,reaction
Trae Young is a top 5 point guard RIGHT NOW and nobody wants to admit it because Atlanta isnt a big market,hot_take
"Ranking franchise cornerstones by Wins Above Replacement per season (past 5 years): Jokic 22.1, Giannis 19.4, LeBron 17.8, Durant 16.9, Curry 16.2. Jokic's lead over second place is larger than Durant's lead over Curry. The WAR argument ends all MVP debates",reaction
Harden just took his 11th step before the shot and they called the foul. I quit watching basketball,reaction
The statistical case against hero ball in the playoffs: teams that rank top 5 in AST% during regular season convert that into playoffs at 73% success rate. Teams in bottom 5 AST% convert at 41%. Sharing the ball is the single best predictor of playoff advancement,reaction
KD leaving OKC was the worst thing to happen to the NBA in 20 years. Killed the league's competitiveness,hot_take
Steph Curry changed basketball more than Jordan ever did. Scorching hot take but its true,hot_take
Victor Wembanyama playing in the French league meant nothing. The NBA is a different planet,hot_take
Kevin Durant is the most gifted offensive player to ever pick up a basketball. Better than LeBron offensively,hot_take
WE WON A PLAYOFF GAME. SACRAMENTO KINGS WON. A. PLAYOFF. GAME. LIGHT THE BEAM ðŸ”¦,reaction
i cant believe i stayed up till 1am for THIS performance from my team. disgraceful,reaction
"Breakdown of Celtics defensive efficiency by lineup: Tatum-Brown-White-Holiday-Porzingis posts a 98.4 defensive rating in 412 minutes together, which would be the best 5-man unit defense in the league by a significant margin",analysis
Giannis Antetokounmpo's rebound rate (27.1%) leads all non-centers who average 30+ points. His defensive rebound rate (27.8%) would rank 3rd among starting centers. He provides center-level rebounding from the forward spot which is structurally undervalued,analysis
Jokic's passing angle on that last play was physically impossible. The man plays 5D chess,reaction
Pat Riley is the greatest executive in NBA history and its not close. Phil Jackson had Jordan so it doesnt count,hot_take
The Nuggets title in 2023 was the best outcome for the NBA in 20 years. Real basketball won,hot_take
KD and Kyrie in Brooklyn was the greatest team ever assembled that never won anything,hot_take
young blood just walked into the building and MSG went absolutely INSANE for tatum,reaction
This refs are BLIND. That was clearly a foul on Tatum. Absolutely criminal call,reaction
Giannis without a jump shot is a liability in the playoffs and we see it EVERY year,hot_take
"Luka's playoff performance at age 24 vs LeBron's at 24: Luka 28.4/9.1/8.7 on .468/.382 shooting. LeBron 28.6/8.1/7.3 on .491/.325 shooting. Fairly comparable actually, though LeBron played fewer games at that stage",analysis
Jimmy Butler is the most clutch player in the NBA right now. Not Tatum. Not Durant. Jimmy.,hot_take
The Knicks are 3 years away from winning a title. New York is BACK and the league is scared,hot_take
The Pelicans CJ McCollum problem: in games McCollum scores 20+ the Pelicans are 21-8. In games he scores under 15 they're 11-22. The entire offense funnels through his creation. Zion and BI aren't volume shot creators â€” CJ has to be 'on' for this team to work,analysis
SPIDA MITCHELL WITH THE PUT BACK DUNK TO TIE IT. QUICKEN LOANS IS ELECTRIC. WAIT ITS ROCKET MORTGAGE,reaction
"traded away our 3 best players for draft picks and the picks are 8, 12, 14. I'm fine. totally fine.",reaction
"Anthony Davis rim protection stats: opponents shoot 48.2% at the rim when he's the primary defender vs 64.7% when he's not. That's a 16.5 point suppression. For reference, Gobert's suppression rate is 14.2 at the rim this season",analysis
"Jimmy Butler playoff scoring by series pressure: in series where his team is down 2-1 or worse, he averages 31.4 PPG on 56.2 TS%. In series where his team leads 2-1+, he averages 22.1 PPG. He genuinely elevates with his back against the wall",analysis
Paul George chokes every single playoff series and yet gets max contract after max contract,hot_take
FOURTH QUARTER JAYSON TATUM IS BACK AND THE GARDEN IS LOSING IT,reaction
Historical win curve for lottery picks vs free agency: teams that added a top-5 pick averaged improvement of +9.4 wins in Year 1. Teams that signed a max free agent averaged +7.1 wins. Draft acquisition wins faster AND is cheaper. Analytics confirm the rebuild strategy,analysis
Analyzing Draymond Green's impact metrics: teams with Draymond on floor post 107.8 defensive rating. Off: 117.1. That's a 9.3 point differential from one player who doesn't score. His BPM (3.1) undersells his actual court impact,analysis
i hate this team. i love this team. i hate that i love this team,reaction
Historical context for the OKC rebuild: they had 14 picks in the top 32 over 5 drafts. Comparable rebuild: Spurs post-Robinson era (12 top picks in 6 years). Spurs converted that into 4 championships. The Thunder blueprint is proven,analysis
The Lakers are still the most important franchise in the NBA and it drives everyone crazy,hot_take
announcer just said 'he has been SENSATIONAL tonight' about a guy who has 8 points. the bar is low,reaction
the energy in that arena when KD came back to Oklahoma City was something else man,reaction
They just announced KD is out for the season and i need a moment. just... a moment.,reaction
this game went to overtime and i have work in 6 hours. worth it tbh,reaction
The three point line ruined basketball. Real ball was played in the paint. Bring back the 80s game,hot_take
"Nikola Jokic's BPM (Box Plus-Minus) over the past 3 seasons: +12.8, +13.9, +11.4. For context, the highest BPM seasons in NBA history are Wilt's +14.3 (1962) and Jordan's +13.0 (1988). Jokic is historically unprecedented",analysis
the way tatum hits a stepback three in your face after a timeout is actually disrespectful,reaction
"Comparing Embiid and Jokic MVP seasons head to head on BPM: Embiid's best: +11.3. Jokic's best: +13.9. Jokic leads in assists by 4.1/g, Embiid leads in blocks by 0.9/g. Jokic's passing makes him the better player by most advanced metrics",analysis
"The modern NBA pace and space effect on big men: centers averaged 10.1 PPG in 2010. In 2024, starting centers average 16.8 PPG. The rule changes (more space, less physicality) created 6.7 extra points per game. The center position has never been more valuable",analysis
Dame time in Milwaukee??? that three pointer at the buzzer i am DECEASED,reaction
"Shai Gilgeous-Alexander has posted a PER of 31.4 this season, which would rank in the top 8 single-season marks in NBA history. His true shooting percentage of 63.1% while generating 32.1 PPG is historically elite shot creation efficiency",analysis
Comparing this Celtics team to past Celtic dynasties: 2024 roster ORTG (121.3) vs 1986 team (est. 114.1 pace adjusted). 2024 DRTG (109.8) vs 1986 (est. 107.2 pace adjusted). On pace-adjusted metrics the 2024 Celtics are historically comparable to the Bird era teams,analysis
game 7. home court. and we're down by 18 in the 3rd. classic. absolutely classic.,reaction
"The NBA is in its best era right now and anyone who disagrees is wearing nostalgia goggles. More skill, more athleticism, more competition than ever before in history",hot_take
Zion Williamson in 65+ game seasons: 27.4/7.1/4.7 on .569 shooting. That's historically elite efficiency for a player of his shot volume. The only question mark is games played. Pelicans need to figure out his conditioning,analysis
Trae Young has the 4th highest PPP on pull-up jumpers (1.08) among players who attempt 6+ per game. His shot chart is terrible to look at but the efficiency numbers tell a different story about what he's doing with those looks,analysis
Revisiting the KD ring debate with data: Durant's playoff TS% with Golden State was 67.2%. His TS% in Brooklyn/Phoenix/OKC combined was 62.8%. The difference in context explains roughly 40% of his output improvement per regression models,analysis
Luka with the step back three over two defenders at the buzzer. Gonna replay this 900 times tonight,reaction
The Raptors title in 2019 was a complete fluke and we all know it. Kawhi left right after for a reason,hot_take
nuggets crowd is ROCKING rn. jokic just did a euro step on two defenders and im crying,reaction
"The real Giannis leap: his 3-point percentage went from 29.4% in 2021 to 27.3% in 2022 to 33.2% in 2023 to 31.8% in 2024. The improvement is real but inconsistent. Until he hits 35% consistently, playoff defenses will keep dropping off him",analysis
"Devin Booker's scoring ranks: 7th in PPG (28.3), 11th in eFG% (56.8), 4th in pull-up PPP (1.07). His perception lags his actual statistical standing. Big market bias is real and Phoenix suffers from it",analysis
Advanced breakdown of why Giannis struggles late in playoffs: his opponent PPP against in clutch situations is 1.14 (compared to 0.89 in regular season). Teams are hunting him in PnR with good shooters and the Bucks can't space it enough,analysis
Shai Gilgeous-Alexander will win MVP this season. Put some respect on his name NOW,hot_take
"The Nets rebuild in perspective: 3 years ago they had KD, Kyrie, Harden. Today they have Ben Simmons on max contract and 4 first round picks. That's a generational mismanagement of assets by a front office",analysis
my team just got swept in round 1 by a 6 seed. goodnight. see you in october ðŸ˜”,reaction
EMBIID JUST DUNKED ON GOBERT AND STARED HIM DOWN. BROTHERRRR,reaction
KAWHI JUST ACTIVATED. EYES TURNED BLACK. TERMINATOR PROTOCOL ENGAGED,reaction
Udoka should never have been suspended. Double standard from the league office,hot_take
The East is STILL weaker than the West. Celtics winning a title doesnt change 15 years of imbalance,hot_take
Knicks fans watching their team blow another 4th quarter lead: ðŸ˜,reaction
"The Pacers formula: 7th fastest pace in league (100.4), 4th best assists per game (30.2), 3rd best corner 3 percentage (41.8%). Haliburton's system is built to exploit the modern NBA defensive principles. The data says they can compete",analysis
The Spurs success was entirely Tim Duncan. Pop would have zero rings without him,hot_take
"Miami's 5-man lineup of Butler-Herro-Martin-Vincent-Bam posts a +12.4 net rating in 238 minutes. That's elite. The Heat are not a superteam, they're a system team â€” and that lineup data shows why the sum is greater than parts",analysis
The case for Ja Morant as a franchise cornerstone despite suspensions: his on-court metrics when available are genuinely elite. Net rating differential when Morant plays vs sits: +11.4. No other player in the West outside of Jokic has a larger on/off split,reaction
"halftime score update: my will to live: 0, opposing team: 127",reaction
wait wait wait did they just trade for TWO max players at the deadline?? the internet is going to explode,reaction
The Warriors dynasty was the most boring era in NBA history. 4 finals appearances with a super team yawn,hot_take
my team is getting blown out by 38. the broadcast team has moved on to discussing golf. i respect it,reaction
PAUL GEORGE CHOKED AGAIN. I CALLED IT. I CALLED IT EVERY SINGLE TIME,reaction
"The Warriors dynasty by the numbers: 4 titles in 8 years, 6 Finals trips, 73-win season. Average regular season win total: 63.5. That's the highest 8-year average in NBA history, including the 80s Celtics (60.2) and 90s Bulls (61.7)",analysis
Phoenix Suns ownership is the biggest obstacle to that franchise ever winning anything,hot_take
"The Thunder's path to contention timeline: Shai at 25, Holmgren at 22, JDub at 23, Dort at 25. Their salary structure has 4 max slots opening in the next 3 years. The architecture is genuinely better than any other young team",analysis
The NBA was better in the 90s. Soft league now. They wouldnt last a single game back then lol,hot_take
The Celtics bench ranks 4th in scoring this season but 1st in net rating (+6.2). What that tells you is they don't score a ton but they don't give up anything either. Depth wins in the 2nd round when rotations tighten,analysis
"The Pelicans are the most cursed franchise in sports. Zion, BI, always someone hurt",hot_take
"Year 3 Wembanyama projection based on comparable rookies: per Similarity Scores, his closest comps are Hakeem Olajuwon, David Robinson, and Anthony Davis in their first 2 seasons. The median outcome for those comps at Year 3: 25.1/10.4/3.8 blocks",analysis
curry just hit his 7th three of the game and were only in the 3rd. hall of fame night,reaction
my 7 year old just started crying because his team lost. welcome to being a sports fan buddy,reaction
OKAYYYY JOKIC DID THAT ARE YOU KIDDING ME. Back to back to back MVP watch happening LIVE,reaction
Jaylen Brown is a top 15 player in the NBA and still gets disrespected constantly,hot_take
Jayson Tatum is not a #1 option on a championship team. He needs a true co-star to win it all,hot_take
"Breaking down Luka's weaknesses with data: opponents scoring on fast breaks when Luka is the last defender: 1.28 PPP (2nd worst among starting guards). His on-ball defense allows 1.09 PPP (above league average of 0.91). Offense is elite, defense is legitimately below average",analysis
"Analyzing the Celtics dynasty window: average age of core: 27.3, all on controllable contracts through 2026, top 3 defense 3 of past 4 seasons, top 5 offense 2 of past 4. Their window is 4-5 years and they've won once. Clock is ticking",analysis
Nikola Jokic will win 5 MVPs before he retires. He is changing what we think a center can be,hot_take
"Tyrese Haliburton's playmaking efficiency: when he runs PnR as ball handler, Indiana scores 1.21 PPP â€” highest in the league among primary PnR guards. His PnR passing grade of 91.4 per Second Spectrum beats Chris Paul's best season (89.7)",analysis
Why the Warriors are still relevant: their offensive system generates 1.14 PPP without Curry on the floor (top 5 in league). That means Curry's off-ball movement and gravity generate value even in his absence. The system is independent of any player,analysis
Joel Embiid is not clutch and will never win a ring because of it. Stats dont tell the whole story,hot_take
Ben Simmons is the biggest bust in NBA draft history and I will die on this hill,hot_take
The Durant-Kyrie Brooklyn experiment statistical autopsy: their net rating together in 88 minutes in 2021: +14.7. In 2022 before Kyrie's suspension: +12.3. The talent worked. The availability didn't. This is a cautionary tale about injury luck not ability,analysis
LeBron just played 41 minutes at 39 years old with 28/10/12. Father Time is terrified,reaction
Lonzo Ball was sabotaged by the Lakers organization. Could have been an All Star,hot_take
Just left the arena. Greatest sporting event I've ever witnessed. No sleep till 6am and I don't care,reaction
